ASSY품번	해당품번	하위품번	판매처(사급출고)	매입처(입고)	같이본다(Y/N)	사유
AJR74227601 / AJR76363001-S1-5 / AJR76363002-S3-2	MJU42938502	MJU42938502-6-1	명진산업(0)	해당:명진산업(245)	Y	
AJR30077801-J&I-1 / AJR30077802-20-1 / AJR30117902-F&T-1 / AJR55707001-J&I / AJR55707008-15-1 / AJR55707008-20-1 / AJR55707008-J&I-1 / AJR55707009-15-1 / AJR55707009-20-1 / AJR55707009-F&T-1	MJU47979201	MJU47979201-19-1	미래정밀(1362)	하위:명진산업(1362) / 해당:미래정밀(1337)	Y	
AJR71429409-3-1 / AJR73988107-11-1	MJU62128502	MJU62128502-1	미래정밀(5) / 이젠터(4)	(입고없음)	N	
AJR71429418 / AJR71429420-3-1 / AJR71429433-3-1 / AJR73988107-11-1 / AJR73988107-9-1	MJU62128503	MJU62128503-1	미래정밀(5) / 이젠터(4)	(입고없음)	N	
AJR73664801	MJU62730201	MJU62730201-컷팅	주식회사 우성테크원(8)	해당:주식회사 우성테크원(34)	N	판매처 우성테크원=견적 무관
AJR73664901	MJU62730202	MJU62730202-컷팅	주식회사 우성테크원(14)	해당:주식회사 우성테크원(35)	N	판매처 우성테크원=견적 무관
AJR71433340-13-1	MJU63650904	MJU63650904-19-1	미래정밀(7900)	하위:명진산업(7900)	Y	
AJR74424612-1-1 / AJR74424616 / AJR74424621-1-1	MJU63651004	MJU63651004-피어싱	중앙정밀(4003)	(입고없음)	Y	
AJR74424612-1-1 / AJR74424616 / AJR74424620-1-1 / AJR74424621-1-1 / AJR76523027-20-1	MJU63651005	MJU63651005-피어싱	중앙정밀(4009) / 케이비(2216)	(입고없음)	Y	
AJR74424620-1-1	MJU63651009	MJU63651009-피어싱	중앙정밀(6)	(입고없음)	Y	
AJR75563502-12-1 / AJR75563502-12-4 / AJR75563503-12-1 / AJR75563503-F&T-1	MJU64794402	MJU64794402-19-1	대원산업(40)	하위:명진산업(40)	Y	
AJR75563502-12-1 / AJR75563502-12-4 / AJR75563503-12-1 / AJR75563503-F&T-1	MJU64921201	MJU64921201-19-1	대원산업(40)	하위:명진산업(40)	Y	
AJR77182802	MJU65512602	MJU65512602-컷팅	썬텍코리아주식회사(891)	(입고없음)	Y	
AJR77163101-4-1	MJU66366803	MJU66366803-1	미래정밀(1188)	(입고없음)	Y	
AJR77182902	MJU66467102	MJU66467102-컷팅	썬텍코리아주식회사(905)	(입고없음)	Y	
AJR77170902	MJU66500702	MJU66500702-컷팅	썬텍코리아주식회사(220)	(입고없음)	Y	
AJR30028409	MJU66803015	MJU66803015-컷팅	미래정밀(265)	해당:미래정밀(266)	Y	
ACQ30605001-4-1	MJU66954402	MJU66954402-1	미래정밀(50)	하위:창암스프링(53)	Y	
ACQ30605001-4-1	MJU66954403	MJU66954403-1	미래정밀(61)	(입고없음)	Y	
